,Date,User Name,User ID,Tweet,User Location,Image URL
0,2022-12-06 16:04:00+00:00,NASWMA,50712405,"In case you missed it in our monthly e-news, EOHHS- Mass League of Community Health Centers has announced a loan forgiveness retention program. Applications opened yesterday &amp; close on January 30th, 2023! Click the link in our bio to learn more! #SocialWorkers #LoanForgiveness https://t.co/dG3hGwZYWv","Boston, MA",https://pbs.twimg.com/profile_images/1288867832185401345/KacbKX_3_normal.jpg
1,2022-12-06 12:01:03+00:00,PayingForSchool,19557568,"You may need education loans to help pay for school. Here is everything you need to know about the federal loan program available to college, graduate, and professional students: https://t.co/cz0jDrgpXZ 

#loans #studentloans #federalloans #loanforgiveness https://t.co/MMtgdcU11v",Nationwide,https://pbs.twimg.com/profile_images/1542627473099194370/3YSZDpC9_normal.jpg
2,2022-12-05 15:00:16+00:00,InsidePFCU,512195605,"#PFCU is hosting a “Loan Forgiveness: The Student Debt Relief Plan Explained” webinar!💸 

We will be using GoToWebinar, and you can join our session by using a Mac, PC, mobile device or tablet at this link: https://t.co/Rl8PhEvVfG

#LoanForgiveness https://t.co/Zs4aSU4Jyj",Philadelphia,https://pbs.twimg.com/profile_images/1868052727/twitter_profile_photo_normal.jpg
3,2022-12-04 15:32:14+00:00,George072268,1552024415747047424,"I am for loan forgiveness for school. The type of loan forgiveness where the colleges pay back the excess tuition that they scammed out of the government and students for useless degrees.
#loanforgiveness #scam @DNC @nytimes @washingtonpost",United States,https://pbs.twimg.com/profile_images/1565440530837868544/1_iNlqGB_normal.jpg
4,2022-12-03 01:37:04+00:00,StevenHarp_,2290406826,"#Americans with #studentloans will remember what #Republicans tried to stop. 

Republicans are the reason the $10,000 in #loanforgiveness was blocked. 

Please always #remember this when you vote. https://t.co/wMVOojux9G",,https://pbs.twimg.com/profile_images/1342975367074766848/Q5OXi9DZ_normal.jpg
5,2022-12-03 01:36:19+00:00,StevenHarp_,2290406826,"@DiamondandSilk #Americans with #studentloans will remember what #Republicans tried to stop. 

Republicans are the reason the $10,000 in #loanforgiveness was blocked. 

Please always #remember this when you vote.",,https://pbs.twimg.com/profile_images/1342975367074766848/Q5OXi9DZ_normal.jpg
6,2022-12-02 16:00:28+00:00,NewNCProject,1441018680125632516,"The executive branch cannot spend money that Congress has not approved. 

We HAVE to push congress to stand for student debt forgiveness and allow it to become a TRUE reality!

#StudentDebtForgiveness #LoanForgiveness #NNCP #NCPol","North Carolina, USA",https://pbs.twimg.com/profile_images/1578173759806218251/BZu5y_lW_normal.jpg
7,2022-12-02 15:09:50+00:00,UMassPsychiatry,113423905,"Find out how you can get up to $300K in loan forgiveness by working in acute care units as well as MA Department of Mental Health inpatient, outpatient, and partial hospital programs. We have these opportunities.  Read more here: #loanforgiveness 
https://t.co/9evPTgkyjO","Worcester, MA",https://pbs.twimg.com/profile_images/1521580422588678146/jmgPP9pG_normal.png
8,2022-12-02 15:02:05+00:00,studentdoctor,18221346,"""Borrowers who had their loans discharged through Public Service Loan Forgiveness or were on track for cancellation saw improved credit scores and higher rates of homeownership..."" Yeah, that tracks. #studentloans #PSLF #loanforgiveness

https://t.co/Lqusms2mhc",United States,https://pbs.twimg.com/profile_images/1700510541/square_300x300_final_normal.png
9,2022-12-02 14:52:51+00:00,alabeacub,467882010,#ppploans #loanforgiveness #welfarequeens #republicans #congress #trumplicans #republicancongress #electiondeniers #insurrectionists #americantraitors https://t.co/JkH8JUmkTB,"CA, United States",https://pbs.twimg.com/profile_images/1558570050088419328/qebWmiel_normal.jpg
