,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User Name,User ID,Tweet,Image URL,Location,Cleaned_Tweet,scores,label
7,8,8,8,2022-12-06 20:20:38+00:00,SIDrunks,47539766,It's time to wipe out student loan debt and create an entirely new system. https://t.co/H6JstKAqSS #studentloanforgiveness,https://pbs.twimg.com/profile_images/1457877737679503361/pKDD15Zr_normal.jpg,United States,time wipe student loan debt create entirely new system,"{'neg': 0.216, 'neu': 0.603, 'pos': 0.181, 'compound': -0.1027}",Negative
10,11,11,11,2022-12-06 19:17:48+00:00,simulator8,21474769,"This would be illegal.  #BankruptcyPowers are constitutional, along with the government’s right to contract with federal borrowers (most student loans are federal).

Biden’s #StudentLoanForgiveness Will Likely Be Deemed Illegal — What To Expect Now.
 https://t.co/229Ar7GaGQ",https://pbs.twimg.com/profile_images/958913570942709760/48IQ3EdQ_normal.jpg,United States,would illegal constitutional along government right contract federal borrowers student loans federal biden likely deemed illegal expect,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.802}",Negative
13,14,14,14,2022-12-06 17:26:51+00:00,DEA78810182,1451225579152461824,I feel Biden had to know that it was not going to pass and face headwinds along the process but because elections were coming he was just trying to show he has done it only to have it blocked.  What are the 26 million hopefull are going to think now. #studentloanforgiveness,https://pbs.twimg.com/profile_images/1451225702099996680/uohUpnUT_normal.jpg,United States,feel biden know going pass face headwinds along process elections coming trying show done blocked million hopefull going think,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.2732}",Negative
15,16,16,16,2022-12-06 16:10:52+00:00,TLActivist,105786934,"Now wait a damn minute @JoeBiden …y’all sending BILLIONS of dollars to Ukraine and this what they doing with it? 

If y’all don’t go get our fuggin money back…and now dammit! #UkraineRussianWar #unitedStates #studentloanforgiveness https://t.co/uOVenwJvaC",https://pbs.twimg.com/profile_images/1600173640653340675/yLxtKqqD_normal.jpg,United States,wait damn minute sending billions dollars ukraine go get fuggin money back dammit,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.4019}",Negative
16,18,18,18,2022-12-06 15:07:19+00:00,jfqueen,456735446,"Trump says there are portions of the Constitution that need to be changed, unlike Biden who simply ignores the Constitution altogether. #Immigration #studentloanforgiveness",https://pbs.twimg.com/profile_images/378800000511532961/efaffb92d5b42e09c0aafbc3aeb29893_normal.jpeg,United States,trump says portions constitution need changed unlike biden simply ignores constitution altogether,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}",Negative
18,20,20,20,2022-12-06 14:28:43+00:00,Pollerama,1151595823899131904,@ReverendWarnock Democrats lie to get votes. Knowing the #studentloanforgiveness scam was unconstitutional. Vote republican for truth and your future. #HerschelWalker https://t.co/EhTazBL309,https://pbs.twimg.com/profile_images/1151596124941082624/SUcDRCRa_normal.png,United States,democrats lie get votes knowing scam unconstitutional vote republican truth future,"{'neg': 0.247, 'neu': 0.6, 'pos': 0.153, 'compound': -0.34}",Negative
20,22,22,22,2022-12-06 13:47:21+00:00,Stefie0611,886326779954307073,"Nothing like watching the Biden Administration try &amp; back peddle! 🤣
#studentloanforgiveness
https://t.co/rYj3kw04Yg",https://pbs.twimg.com/profile_images/1508437631935434767/jWh__bVl_normal.jpg,United States,nothing like watching biden administration try back peddle,"{'neg': 0.232, 'neu': 0.768, 'pos': 0.0, 'compound': -0.2755}",Negative
24,26,26,26,2022-12-06 13:11:09+00:00,inghramtalks,1518769654914822146,"Finally, the dumbest move @GOP could have done about this EO was challenge it in courts. That’ll immediately be used against the party by @TheDemocrats — and rightfully so!

11/

#studentloanforgiveness",https://pbs.twimg.com/profile_images/1518771025907003392/ovtaLzgt_normal.jpg,United States,finally dumbest move could done eo challenge courts immediately used party rightfully,"{'neg': 0.202, 'neu': 0.552, 'pos': 0.245, 'compound': -0.0772}",Negative
27,29,29,29,2022-12-06 13:05:53+00:00,inghramtalks,1518769654914822146,"It would behoove @GOP to recruit these voters. Here’s how:

1. Forgiveness. @GOP had no problem bailing out banks and corporations with taxpayer dollars. That was a mistake but we can’t hide from it and it looks elitist to help corps over citizens.

8/

#studentloanforgiveness",https://pbs.twimg.com/profile_images/1518771025907003392/ovtaLzgt_normal.jpg,United States,would behoove recruit voters forgiveness problem bailing banks corporations taxpayer dollars mistake hide looks elitist help corps citizens,"{'neg': 0.276, 'neu': 0.528, 'pos': 0.195, 'compound': -0.25}",Negative
28,30,30,30,2022-12-06 13:02:56+00:00,inghramtalks,1518769654914822146,"2. Currently debt forgives advocates are down $50,000–assuming Biden’s EO passes muster. $60,000 if it doesn’t.

This failure is specifically due to @SpeakerPelosi and @TheDemocrats putting party over country. I know y’all remember that line. 

7/

#studentloanforgiveness",https://pbs.twimg.com/profile_images/1518771025907003392/ovtaLzgt_normal.jpg,United States,currently debt forgives advocates assuming biden eo passes muster failure specifically due putting party country know remember line,"{'neg': 0.23, 'neu': 0.556, 'pos': 0.214, 'compound': -0.1027}",Negative
