,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User Name,User ID,Tweet,Image URL,Location,Cleaned_Tweet,scores,label
0,0,0,0,2022-12-06 23:57:15+00:00,FleursMackinac,1129803418376318978,@DebtCrisisOrg @POTUS Hey @POTUS how about you do the right thing for MILLIONS of Americans and #CancelStudentDebt #cancelALLstudentdebtnow #studentloanforgiveness #bankruptcy,https://pbs.twimg.com/profile_images/1129803754168041472/1YrLptbX_normal.jpg,United States,hey right thing millions americans,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
2,2,2,2,2022-12-06 23:23:56+00:00,karenggolden,494178784,@joebiden knew exactly what he was doing offering up #StudentLoanForgiveness #BuyingVotes #BidenCrimeFamily @TheJerryBurke @NEWSMAX https://t.co/KIEHn7V87d https://t.co/5xnYecEf6B,https://pbs.twimg.com/profile_images/1509255507588136970/KWuRUEef_normal.jpg,United States,knew exactly offering,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
3,3,3,3,2022-12-06 23:14:43+00:00,Demi_Libman,1589486554875060225,"Conservatives are so uneducated they don't even need their student loans bailed out by the government.
#studentloanforgiveness #Students #StudentLoans2022 #UneducatedRepublicans #EducationForAll #LearningTogether https://t.co/xVniwbIrfn",https://pbs.twimg.com/profile_images/1589494020207779840/1bZhvzSq_normal.jpg,United States,conservatives uneducated dont even need student loans bailed government,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
8,9,9,9,2022-12-06 19:46:17+00:00,sminaev2015,3395637394,heart drawing from students #pictures #studyacc #Students #sminaev #studentloanforgiveness #heart #Desktop #positivity https://t.co/JMM20qjzlE,https://pbs.twimg.com/profile_images/626755137457917952/vh8ToO1y_normal.jpg,United States,heart drawing students,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
21,23,23,23,2022-12-06 13:36:53+00:00,FleursMackinac,1129803418376318978,@valenceawest @POTUS @SecCardona Hey @POTUS how about you do the right thing for MILLIONS of Americans and #CancelALLStudentDebtNOW #studentloanforgiveness #StudentLoans2022 #cancelallstudentdebt #bankruptcy #Hispanic #BlackWomen @SecCardona,https://pbs.twimg.com/profile_images/1129803754168041472/1YrLptbX_normal.jpg,United States,hey right thing millions americans,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
37,40,40,40,2022-12-06 08:52:04+00:00,SirAuthorTrey,1541585168481361920,"#studentloanforgiveness why are republicans blocking student loan forgiveness, paid time off for rail workers, #RepublicansHaveNothingToOffer why do they block additional health care for veterans #VeteransDay 👎🏿👎🏿🧅 what good are they they are an organization of hindrance 🧅🧅🧅",https://pbs.twimg.com/profile_images/1541587988139966464/1z2KWk5v_normal.jpg,United States,republicans blocking student loan forgiveness paid time rail workers block additional health care veterans good organization hindrance,"{'neg': 0.299, 'neu': 0.401, 'pos': 0.299, 'compound': 0.0}",Neutral
43,46,46,46,2022-12-06 02:27:41+00:00,damnpamfromnamm,583053128,"@CurmudgeonCD21 @davenewworld_2 @DirkSchwenk That Biden has lied his entire adult life. Did you ever get the rest of the promised $2,000? #studentloanforgiveness? Codifying Roe v Wade? How about this one? https://t.co/nZ8sjgmWZs",https://pbs.twimg.com/profile_images/1586481927141269505/leW8bgXT_normal.jpg,United States,biden lied entire adult life ever get rest promised codifying roe v wade one,"{'neg': 0.161, 'neu': 0.683, 'pos': 0.155, 'compound': -0.0258}",Neutral
47,51,51,51,2022-12-06 00:57:35+00:00,NOdogmeatNO,744751300403990529,BREAKING: We Now Have the Full Transcript of Fauci's Deposition in Social-Media Collusion Case https://t.co/DpWjfpg8ao #trending #trend #TrendingNow #samsunggalaxy #studentloanforgiveness #stockmarketcrash #Slingshot #ShopMyCloset,https://pbs.twimg.com/profile_images/1536415270197248000/frTmdR6X_normal.jpg,United States,breaking full transcript faucis deposition social media collusion case,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
48,52,52,52,2022-12-06 00:31:07+00:00,anglib78,23085107,"@Plz_Relax_ @IWriteAllDay_ I have no words for that. 
#studentloanforgiveness https://t.co/xP6bXAHISJ",https://pbs.twimg.com/profile_images/1401340671596900359/JB7h1HWi_normal.jpg,United States,words,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
53,57,57,57,2022-12-05 22:28:31+00:00,ehburner30,1518299510774145031,Dr. Dre ft. Snoop Dogg - Nuthin' But A G Thang (Official Video) [Explicit] https://t.co/TfJjuIkQ1L via @YouTube @Cobratate … #studentloanforgiveness @SnoopDogg,https://pbs.twimg.com/profile_images/1593613717702426625/bD2Dl-lr_normal.jpg,United States,dr dre ft snoop dogg nuthin g thang official video via,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
