,Date,User Name,User ID,Tweet,User Location,Image URL
0,2022-12-06 20:10:58+00:00,glenthecreator,894200148015943684,"#StudentDebt wouldn't exist for #ADOS(American Descendants Of Slavery) had POTUS #AndrewJohnson not reneged on William Sherman Special Field Order,No.15,#FortyAcresAndAMule #Reparations of it's time.ADOS IS OWE a multigenerational 400-DEBT in the Trillions.https://t.co/812h7VSegD",,https://pbs.twimg.com/profile_images/1215812471262523393/Ux7UKS86_normal.jpg
1,2022-12-06 19:54:37+00:00,AIANational,32012825,"To equip all architects for their professional careers, #StudentDebt needs to be addressed. This study will help us do that. 

Learn more: https://t.co/1exq99Sk3y","Washington, D.C.",https://pbs.twimg.com/profile_images/1317103394964856835/zgfhqmed_normal.jpg
2,2022-12-06 19:50:20+00:00,AIANational,32012825,"#StudentDebt could cause architects to leave the profession.

44% of AIA members who borrowed money for college have considered leaving architecture or have already done so.","Washington, D.C.",https://pbs.twimg.com/profile_images/1317103394964856835/zgfhqmed_normal.jpg
3,2022-12-06 19:49:50+00:00,AIANational,32012825,"Like firm selection, #StudentDebt affects where design professionals live, too. Choosing where to live matters more to those still paying back their loans. 

Females also reported loans impacting their choice of where to live more than males.","Washington, D.C.",https://pbs.twimg.com/profile_images/1317103394964856835/zgfhqmed_normal.jpg
4,2022-12-06 19:49:27+00:00,AIANational,32012825,"While fewer than 1 in 3 AIA members report student debt affected their choice of firm, almost half (47%) of those who are still paying off loans today reported it did.

Female members are nearly twice as likely to report #StudentDebt impacting their choice of firm.","Washington, D.C.",https://pbs.twimg.com/profile_images/1317103394964856835/zgfhqmed_normal.jpg
5,2022-12-06 19:48:45+00:00,AIANational,32012825,"Younger design professionals are most burdened by #StudentDebt. 89% of AIA members under 35 reported taking out loans, compared to 66% of those between 55 and 64.","Washington, D.C.",https://pbs.twimg.com/profile_images/1317103394964856835/zgfhqmed_normal.jpg
6,2022-12-06 19:48:21+00:00,AIANational,32012825,3 in 4 AIA members had to borrow money to pay for college. 87% of those individuals took out federal loans. #StudentDebt,"Washington, D.C.",https://pbs.twimg.com/profile_images/1317103394964856835/zgfhqmed_normal.jpg
7,2022-12-06 19:47:10+00:00,AIANational,32012825,"Dear architects,

Do you have student loan debt?

Today, we released a study on how #StudentDebt is hurting the profession🧵⤵️","Washington, D.C.",https://pbs.twimg.com/profile_images/1317103394964856835/zgfhqmed_normal.jpg
8,2022-12-06 18:59:53+00:00,ThirdWayTweet,40057701,"Grad students hold 50% of the national student debt—but we know very little about who they are, how much they're borrowing, and what outcomes they have.

Read @ChazzRobinson_'s first for @ThirdWayEDU ➡️ 5 Things We Don’t Know About Graduate #StudentDebt https://t.co/ZWwnpKTLE2",Washington DC,https://pbs.twimg.com/profile_images/974280774710013955/ekF58l2T_normal.jpg
9,2022-12-06 17:03:30+00:00,moneytalksdocu,1376587864549494796,"What's your student loan story? Share yours here or in our documentary's official student loan survey at https://t.co/kcDi3Kj8Qj

#studentloans #studentloandebt #studentdebt #college #collegetuition #collegescholarships #cancelstudentdebt #cancelstudentforgiveness https://t.co/1eqqer4BY1",,https://pbs.twimg.com/profile_images/1377750446287151104/j2vTAGOq_normal.jpg
10,2022-12-06 16:34:33+00:00,NatlCouncilNPs,63148796,The 👆 and 👇 of student loan debt policy updates over the past month bring more stress to already overburdened nonprofits. Save your time tracking the topic and read our summary of major changes: https://t.co/TJXVNqjYaq #Nonprofits #StudentDebt #PSLF https://t.co/P9NACZKfvW,"Washington, D.C.",https://pbs.twimg.com/profile_images/1478366005625819138/WKflwhdJ_normal.jpg
11,2022-12-06 15:39:54+00:00,midwestmagic93,24822343,Why is the Supreme Court all decrepit old out of touch boomers? #scotus #ussupremecourt #biden #StudentLoans2022 #studentdebt,Club Paradise ✨,https://pbs.twimg.com/profile_images/1600497496702197760/oM_IyigG_normal.jpg
12,2022-12-06 12:48:56+00:00,FlamingoWarrio1,1021415351958081536,@ewarren or work at Higher Education Institutions that ACCEPT #StudentDebt that YOU try to cancel ....,,https://pbs.twimg.com/profile_images/1085703676717645824/1Do6K9uv_normal.jpg
13,2022-12-06 12:09:50+00:00,abisavesearth13,47138012,"Can we just pause student loan repayments during the #CostOfLivingCrisis?

My MSc and undergrad loan are coming out at the same time and I could really do with that extra rn.

#student #studentdebt",Norwich/Ipswich/Cambridge,https://pbs.twimg.com/profile_images/1572894396206424065/3W3xts3Q_normal.jpg
14,2022-12-06 07:02:04+00:00,joe_yosemite,1235496401523654656,"@zhukov2022 There is one thing that I condemn #Russia for. If they would have cut the head of the snake in #Ukraine RUTHLESSLY, the moocher @ZelenskyyUa would not have been able to milk my HARD EARNED TAX MONEY. Trillions for UkoNazis but nothing for #StudentDebt nor #MAGA",,https://pbs.twimg.com/profile_images/1235497446186323969/FFnzN5xo_normal.jpg
